GermplasmId,Flower,Pubescence
M08-608027,H,H
M08-608033,H,H
M08-608051,W,G
M08-609011,W,H
M09-159052,P,G
M09-169049,W,G
M09-223022,NA,T
M09-226039,H,G
M09-240005,W,G
M09-240029,W,T
M09-240047,P,G
M09-240061,W,G
M09-241044,H,H
M09-242072,P,G
M09-248030,H,G
M09-251028,P,G
M09-251081,P,G
M09-251100,P,G
M09-251149,P,G
M09-252032,P,G
M09-252048,H,H
M09-252049,H,G
M09-252085,W,H
M09-261065,W,T
M09-261067,H,T
M09-261079,H,H
M09-261084,W,G
M09-261089,P,T
M09-262111,W,G
M09-263090,W,G
M09-263119,H,G
M09-264062,P,G
M09-269045,P,NA
M09-274025,P,G
M09-278026,H,G
M09-278096,P,T
M09-278097,P,T
M09-281098,W,T
M09-285032,P,G
M09-285149,P,G
M09-305001,P,T
M09-305042,P,T
M09-305119,H,T
M09-305139,W,T
M09-305144,NA,T
M09-319035,P,T
M09-335008,H,G
M09-335025,H,G
M09-340038,H,G
M09-340043,H,H
M09-340060,NA,NA
M09-340063,W,T
M09-340080,P,G
M09-340084,W,T
M09-341061,P,T
M09-343023,H,T
M09-343025,NA,NA
M09-519014,P,G
M09-525015,P,T
M09-525033,P,G
M09-525037,P,G
M09-876012,NA,G
M09-876026,W,T
M09-876048,NA,NA
M09-876062,P,G
M09-877004,NA,G
M09-877021,P,G
M09-877022,W,G
M09-877026,P,G
M09-878011,NA,NA
M09-878072,NA,G
M09-878087,NA,G
M09-956021,NA,G
M09-956047,NA,NA
M09-956063,NA,NA
M09-957021,H,H
M09-957029,H,H
M09-957051,NA,NA
M09-957052,H,H
M09-957075,H,G
M10-171020,P,NA
M10-186021,P,G
M10-198005,W,G
M10-198059,P,G
M10-200119,W,G
M10-201034,W,T
M10-207102,P,NA
M10-207126,W,G
M10-218053,P,T
M10-218069,W,T
M10-249014,P,G
M10-249028,W,G
M10-254090,P,G
M10-268096,W,T
M10-270004,W,G
M10-274172,P,G
M11-115357,W,T
M11-120003,P,T
M11-120020,P,T
M11-120121,P,NA
M11-123013,P,T
M11-123015,W,G
M11-123087,H,T
M11-124006,W,T
M11-124010,W,G
M11-130013,W,G
M11-130058,H,G
M11-131005,W,G
M11-131015,NA,G
M11-131022,W,G
M11-131044,NA,G
M11-131060,P,G
M11-131119,P,G
M11-132019,W,G
M11-132044,W,G
M11-238102,W,T
M11-241015,P,T
M11-244115,W,G
M11-244139,W,G
M11-245026,P,T
M11-253-4066,P,T
M11-268105,W,T
M11-271059,W,G
M11-271062,W,T
M11-271064,W,H
M11-278003,P,G
M11-279046,P,G
M11-298308,P,T
M11-337015,P,G
M11-377069,P,G
M11-377115,P,T
M97-130015,P,T
M97-357138,P,G
M98-108027,P,G
M98-133-20012,P,G
M98-211046,P,G
M98-211117,P,G
M98-212006,P,G
M98-227065,W,G
M98-237086,P,NA
M98-238010,W,G
M98-239080,W,G
M98-240104,W,G
M98-259060,W,T
M98-267068,W,G
M98-270026,P,G
M98-331009,P,T
M98-332069,P,T
M98-332108,P,H
M98-332122,P,T
M98-346081,W,G
M99-112009,H,G
M99-215028,P,G
M99-230063,P,G
M99-232001,W,G
M99-246012,W,G
M99-255036,H,G
M99-278133,P,H
M99-280105,W,T
M99-386097,P,G
Macon,W,T
MBC11-404-010,W,G
MBC11-424-1-25,H,H
MBC11-425-5-002,P,T
MD03-5453,P,G
MD03-5733,P,T
MD04-5060,P,G
MD04-5174,P,T
MD04-5550,W,T
MD05-5177,W,T
Md0708WN120,P,G
Md0708WN122,P,G
Md0708WN124,P,G
Md07-5100,P,T
Md-0809WN100,W,T
Md-08-5816,P,G
MLG03-4069017,P,T
MLG09-5302035,P,G
MLG09-5431014,W,T
MLG09-5431018,W,T
MLG09-5431032,W,G
MN0071,P,T
MN0095,P,G
MN0404CN,P,T
MN0606CN,W,T
MN0902CN,W,T
MN1410,W,G
MN1410R2F5-117,P,G
MN1410R2F5-121,P,G
MN1410R2F5-217,W,G
MN1410R2F5-22,P,G
MN1410R2F5-4,P,G
MN1410R2F5-83,W,G
MN1803RR,NA,G
MSC09-774089,H,G
MSC09-777143,NA,NA
MSC10-559061,H,G
MTC00-112-412-10,P,H
NEX2905A0R,P,G
OAC04-20,P,T
OAC05-02,W,T
OAC05-17,P,T
OAC05-30,P,T
OAC05-33,P,NA
OAC05-40,P,T
OAC06-02,P,T
OAC06-03,P,NA
OAC06-14,P,T
OAC06-32,P,T
OAC07-03C,P,T
OAC07-04C,P,T
OAC07-06C,P,T
OAC07-23C,P,T
OAC07-26C,W,T
OAC07-48C,P,T
OAC08-11C,P,T
OAC08-18C,P,G
OAC08-22C,W,G
OAC09-01C,P,T
OAC09-17C,P,T
OAC09-35C,P,G
OAC09-44C,W,G
OAC10-06C,P,T
OAC10-20C,P,G
OAC10-24C,P,NA
OAC10-32C,H,H
OAC10-36C,H,T
OAC10-38C,P,T
OAC10-40C,H,G
OAC11-13C,P,T
OAC11-25C,P,T
OAC11-34C,P,T
OAC11-37C,W,T
OAC11-43C,P,T
OAC11-46C,P,G
OAC11-51C,P,G
OAC12-107C-HO,P,T
OAC12-21C,P,T
OAC12-31C,P,T
OAC12-44C,P,G
OAC12-61C,P,T
OAC12-66C,P,T
OAC12-86C,P,G
OAC12-98C,P,T
OAC13-05C,P,T
OAC13-06C,P,T
OAC13-64C-ChCdn,P,T
OAC13-67C-ChCdn,W,T
OAC13-74C-SCN,P,T
OAC13-85C-SCN,P,T
OAC13-87C-SCN,W,T
OAC14-01,P,T
OAC14-05,P,T
OAC14-07C,P,G
OAC14-12C,P,G
OAC14-24C,P,T
OAC14-26C,P,G
OAC15-06C,P,T
OAC15-11C,P,T
OAC15-13C,P,T
OAC15-15C,P,T
OAC15-32C,P,T
ORC1602N,W,G
ORC2516N,P,T
ORC2616N,W,G
ORC3313N,W,G
ORC3713N,NA,G
ORC5814,P,G
ORC7215N,W,G
ORC7512N,P,G
ORC7612N,W,T
ORC8015,P,T
ORC8512N,P,G
ORC8715,W,G
Pana,P,G
Parker,W,G
RG200RR,P,T
S10-6090RR,P,T
S11-10348RR,P,G
S12-1879,W,G
S12-1939,W,T
S12-3318,W,T
S12-3443,P,G
S12-3728,P,G
S12-3779,W,H
S12-3835,W,T
S13-11061,P,H
S13-14661,W,T
SA10-11227,W,G
SA10-8471,NA,G
SA11-15334,P,G
SA11-18687,P,G
SA11-3268,P,G
SA11-9478RR,W,NA
SA12-1018,P,T
SA12-1338,W,T
SA12-1340,W,T
SA12-1394,P,T
SA12-1451,P,G
SA12-1455,W,NA
SA12-1471,NA,NA
SA12-1756RR,W,NA
SA12-1914,W,T
SA13-1310,P,NA
SA13-1363,P,NA
SA13-1385,W,NA
SA13-1464,P,T
SA13-2047,W,G
SA13-2126,P,G
SA13-2489,W,G
SA13-2494,W,G
SA13-2699,P,G
SA13-3135,P,G
SA13-4268RR,W,NA
SA13-4304RR,W,T
SA13-4342RR,W,G
SA13-4420RR,P,G
SA13-4434RR,W,G
SA13-5761,P,T
SA14-5754,P,T
SA14-5854,P,T
SA14-5893,W,H
SA14-9653,P,T
SA14-9742,P,G
SD(LD)05-16118,P,G
SD(LD)05-16137,P,G
SD00-1251R,P,T
SD00-167,NA,T
SD00-266,P,G
SD01-3477R,P,G
SD01-76R,P,G
SD02-1045,W,G
SD02-14,W,T
SD02-22,W,T
SD02-833,P,T
SD02-906,P,T
SD02-923,W,T
SD02-96,P,T
SD03-1254,P,T
SD03-1537,P,T
SD03-1603,P,T
SD03-2154,P,G
SD03-2327,P,T
SD03-2768R,P,NA
SD03-3038R,P,NA
SD03-3920R,P,T
SD04CV-485,H,T
SD04CV-534,P,G
SD04CV-564,P,G
SD04CV-611,P,T
SD04CV-613,P,G
SD04CV-965,P,G
SD04CV-972,P,G
SD04R-3666,P,T
SD04R-4273,P,G
SD04R-4281,P,G
SD04R-4284,P,G
SD04R-4490,P,G
SD05-240,P,G
SD05-335,P,G
SD05-383,P,G
SD05R-2750,W,T
SD05R-4526,P,T
SD05R-5878,P,G
SD06-320,P,G
SD06-322,P,G
SD06-328,P,G
SD06-344,P,G
SD06-393,P,G
SD06-415,P,G
SD06-418,P,G
SD06-424,P,G
SD06-428,P,G
SD06-430,P,G
SD06-432,W,G
SD06-441,P,G
SD06-444,P,G
SD06-455,P,G
SD06-483,P,G
SD06-487,P,G
SD06-525,NA,G
SD06-535,P,T
SD06-577,W,T
SD06-589,P,G
SD06R-1200,P,G
SD06R-1729,P,T
SD06R-1780,P,T
SD06R-1901,P,NA
SD06R-1917,P,T
SD06R-2462,P,G
SD06R-2545,P,T
SD06R-3241,P,H
SD06R-3250,P,T
SD06R-3612,P,G
SD06R-3650,W,G
SD06R-4518,P,T
SD06R-5123,P,G
SD06R-5528,P,G
SD06R-5663,P,G
SD06R-5684,P,T
SD06R-5819,P,T
SD07CV-367,W,G
SD07CV-523,W,G
SD07CV-528,P,G
SD07CV-539,W,G
SD07CV-576,W,G
SD07CV-603,W,G
SD07CV-619,W,T
SD07CV-631,P,G
SD07CV-673,W,G
SD07CV-770,P,T
SD07CV-800,W,G
SD07CV-874,W,T
SD07CV-875,W,T
SD07CV-878,W,G
SD07CV-884,P,G
SD07CV-885,W,T
SD07CV-886,W,G
SD07CV-935,P,T
SD07CV-997,H,T
SD08CV-0015,W,G
SD08CV-0016,W,G
SD08CV-0018,W,NA
SD08CV-0019,H,G
SD08CV-0024,P,G
SD08CV-1041,W,G
SD08CV-1043,P,G
SD08CV-1061,W,G
