"GermplasmId_2","GermplasmId","MG","Year"
"K1286","K1286","MGIII",1994
"K1287","K1287","MGIV",1994
"K1288","K1288","MGIV",1994
"K1289","K1289","MGIV",1994
"K1290","K1290","MGIV",1994
"K1291","K1291","MGIV",1994
"K1292","K1292","MGIV",1994
"K1293","K1293","MGIV",1994
"K1294","K1294","MGIV",1994
"K1295","K1295","MGIV",1994
"K1296","K1296","MGIV",1994
"Ky91_0402","Ky91_0402","MGIV",1994
"Ky91_0433","Ky91_0433","MGIV",1994
"Ky91_1062","Ky91_1062","MGIV",1994
"Ky91_1857","Ky91_1857","MGIV",1994
"LN89_3264","LN89_3264","MGII",1994
"LN90_143","LN90_143","MGIII",1994
"LN90_2265","LN90_2265","MGIII",1994
"LN90_3364_MGIII","LN90_3364","MGIII",1994
"LN90_3502","LN90_3502","MGIII",1994
"LN91_1733_MGIII","LN91_1733","MGIII",1994
"LN91_1754","LN91_1754","MGIV",1994
"LN91_2176","LN91_2176","MGIV",1994
"LN91_2883","LN91_2883","MGIV",1994
"LN91_2914","LN91_2914","MGIV",1994
"LN91_3120","LN91_3120","MGIV",1994
"LN91_4240","LN91_4240","MGII",1994
"LN91_4616","LN91_4616","MGII",1994
"LN91_5192","LN91_5192","MGII",1994
"LN91_5218","LN91_5218","MGII",1994
"LN91_5782","LN91_5782","MGII",1994
"LN91_5895_MGII","LN91_5895","MGII",1994
"LN91_662","LN91_662","MGIII",1994
"LN91_675","LN91_675","MGIII",1994
"LN91_823","LN91_823","MGIII",1994
"LN91_967","LN91_967","MGIII",1994
"LS91_1207","LS91_1207","MGIV",1994
"LS91_1210","LS91_1210","MGIV",1994
"LS91_910","LS91_910","MGIV",1994
"LS92_1800","LS92_1800","MGIV",1994
"M89_1665","M89_1665","MGI",1994
"M89_783","M89_783","MGI",1994
"M89_895","M89_895","MGI",1994
"M90_1199","M90_1199","MGII",1994
"M90_1262","M90_1262","MGII",1994
"M90_1459","M90_1459","MGII",1994
"M90_1610","M90_1610","MGII",1994
"M90_1742","M90_1742","MGII",1994
"M90_261","M90_261","MG00",1994
"M90_717","M90_717","MG00",1994
"M90_916","M90_916","MG0",1994
"Md91_5228","Md91_5228","MGIV",1994
"Md91_5258","Md91_5258","MGIV",1994
"Md91_5931","Md91_5931","MGIV",1994
"MN1301","MN1301","MGI",1994
"ND90_1624","ND90_1624","MG0",1994
"ND90_1858","ND90_1858","MG0",1994
"ND90_2152","ND90_2152","MG0",1994
"ND90_2233","ND90_2233","MG0",1994
"ND90_3465","ND90_3465","MG00",1994
"ND90_750","ND90_750","MG0",1994
"NE3297_MGII","NE3297","MGII",1994
"ORC9201_MGI","ORC9201","MGI",1993
"ORC9306","ORC9306","MGII",1994
"ORC9308","ORC9308","MGII",1994
"OT92_12","OT92_12","MG00",1994
"OT93_16","OT93_16","MG00",1994
"OT93_22","OT93_22","MG00",1994
"S91_5371_17","S91_5371_17","MGIV",1994
"S91_5371_19","S91_5371_19","MGIV",1994
"S91_7017","S91_7017","MGIV",1994
"Savoy","Savoy","MGII",1994
"SL87_16119","SL87_16119","MGIII",1994
"SL90_1092","SL90_1092","MG0",1994
"SL90_1405","SL90_1405","MG0",1994
"SL90_3185","SL90_3185","MGIII",1994
"SL90_3695","SL90_3695","MGIII",1994
"SL90_370","SL90_370","MG00",1994
"SL90_4113","SL90_4113","MGIV",1994
"SL90_456","SL90_456","MG0",1994
"SL90_461","SL90_461","MG0",1994
"SL90_472","SL90_472","MG00",1994
"SL90_547","SL90_547","MG00",1994
"SL90_573","SL90_573","MG00",1994
"SL90_599","SL90_599","MG00",1994
"SL90_62","SL90_62","MG00",1994
"SL90_655","SL90_655","MG00",1994
"SL90_661","SL90_661","MG00",1994
"SL90_665","SL90_665","MG00",1994
"SL90_705","SL90_705","MG00",1994
"SL90_706","SL90_706","MG00",1994
